URL,URL Status,Uses AcroForm,Uses XFA Form,Has Fillable Form,PDF Format Version,PDF Size (mb),Creator,Producer,Total PDF Pages,Rendered PDF Pages,Creation Date,Last Modified Date,Days between Created and Modified,Days Since Last Modified,Note
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZJMDDijrXpPHahqpiD7HGyo50oglDScFFaBDLtmov5FIMMnn6GViNDXpdCtV0ztmTw,200,false,false,false,1.7,0.08,PDFium,PDFium,7,7,2023-05-30,2023-05-30,0,318,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZNLT5-1ng3ZIK8i_1FtwPh6qXcGvaVBDiWRYUtPLDSbLEJYmAuwTkDg8I_rMo0Fp7w,200,false,false,false,1.7,0.15,Workiva,Wdesk Fidelity Content Translations Version 008.003.010,28,28,2023-08-07,2023-08-17,10,239,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZKNWR5qZ4G233UYekHwuVOLv2uOs05jOXkOQlESCC1-eBhriismMjMQEuhgzzodKgQ,200,false,false,false,1.7,0.08,Workiva,Wdesk Fidelity Content Translations Version 009.000.033,7,7,2023-10-27,2023-12-06,40,128,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZAQEbJH4phUYPk3zPVHwlpKCWWiz54p--Mfqs9DOmlEIfx3GfVjk6oM3yxptvBQRSA,200,false,false,false,1.7,1.36,PScript5.dll Version 5.2.2,Acrobat Distiller 23.0 (Windows),32,32,2024-02-22,2024-02-28,6,44,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZB-OohXRYa-uyjJ8yHwQd4IdyMPvhph1qnrN1mG_2Tvmd_KR3fBSAqqFxjgN_UarPw,200,false,false,false,1.7,0.49,Adobe Acrobat Pro (32-bit) 23.6.20380,Adobe Acrobat Pro (32-bit) 23.6.20380,18,18,2024-01-08,2024-01-08,0,95,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZAManrw-EclMUeQrnX7zz_1ms3Y20nD6kQYNNNip9FC5VFOl-NMfpmw5Tv0uw9uHBA,200,false,false,false,1.7,0.46,PDFium,PDFium,15,15,2023-05-30,2023-05-30,0,318,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZMggFKzapt-buzJRRWCmLdGWqPBjO8NBsys57yRaDvt9j5WiKsii5JL9mZ7VNb8aQA,200,false,false,false,1.7,0.38,PDFium,PDFium,44,44,2023-08-23,2023-08-23,0,233,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZO0sG7_Y5b-o4Q3hEi08UYdxcr-xJNWSlOayEdrN65LFKhiA6Tl4twh7alSK1KZltA,200,false,false,false,1.6,0.3,PDFCreator 2.5.2.5233,PDFCreator 2.5.2.5233,15,15,2023-11-08,2023-11-13,5,151,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZPqHlGOyiOztRPjjuOyOosONIPQqIINKRHNxUiyXNZjEgJu8m7xMN4dA3BBVIVHNKA,200,false,false,false,1.7,0.45,Aspose Ltd.,Aspose.PDF for .NET 21.10.0,48,48,2023-07-07,2024-02-13,221,59,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZCUE0OWaEPiZpCoT0s0vGzhd9MDaLkiZLSHqaUmU_Vjs8TPHULMTvqhx27jpYw79_A,200,false,false,false,1.7,0.22,,iText® 5.1.3 ©2000-2011 1T3XT BVBA,24,24,2023-04-13,2023-05-01,18,347,
